rank	score	title	company	source	location	salary	url	matched_terms	rationale
117	12.25	Software Engineer	MAI Agents	jobspy:linkedin	Mountain View, CA		https://www.linkedin.com/jobs/view/4335599178	software engineer, agents, AI	Matched software engineer, agents, AI
118	12.25	Machine Learning Engineer	Saris AI	jobspy:linkedin			https://www.linkedin.com/jobs/view/4408514484	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
119	12.25	Senior Machine Learning Engineer - Model Evaluations, Public Sector	Scale AI	jobspy:linkedin	St Louis, MO		https://www.linkedin.com/jobs/view/4336894154	machine learning engineer, machine learning, AI	Matched machine learning engineer, machine learning, AI
120	12.25	AI/Machine Learning Engineer Intern	SentinelOne	jobspy:linkedin			https://www.linkedin.com/jobs/view/4410766267	machine learning engineer, machine learning, intern, AI	Matched machine learning engineer, machine learning, intern, AI
121	12.25	Software Engineer (Multiple Levels) - Machine Learning Infrastructure, Slack	Slack	jobspy:linkedin	Seattle, WA		https://www.linkedin.com/jobs/view/4371076964	software engineer, machine learning, infrastructure	Matched software engineer, machine learning, infrastructure
122	12.25	Founding Machine Learning Engineer [32913]	Stealth Startup	jobspy:linkedin			https://www.linkedin.com/jobs/view/4421930308	machine learning engineer, machine learning, startup	Matched machine learning engineer, machine learning, startup
123	12.25	Founding Machine Learning Engineer [33007]	Stealth Startup	jobspy:linkedin			https://www.linkedin.com/jobs/view/4421108842	machine learning engineer, machine learning, startup	Matched machine learning engineer, machine learning, startup
124	12.0	Full-Time Baton (baton.io) is Ryder's in-house product development group focused on harnessing emerging technologies to 	Baton	hackernews	Francisco, CA		https://news.ycombinator.com/item?id=48358820	software engineer, engineering, infrastructure, AI, startup	Matched software engineer, engineering, infrastructure, AI, startup
125	12.0	Software Engineers & Platform Engineers	Blackshark AI	hackernews			https://news.ycombinator.com/item?id=48358386	software engineer, aws, infrastructure, AI	Matched software engineer, aws, infrastructure, AI
126	12.0	making it fairer, stress-free, and more convenient by changing the fundamentals of renting. We build high-scale applicat	Findigs	hackernews			https://news.ycombinator.com/item?id=48372240	software engineer, node, infrastructure, AI	Matched software engineer, node, infrastructure, AI
127	12.0	Senior infrastructure engineer; [senior] software engineer (high-performance pipelines) Cambridge, MA, USA (metro Boston	SecureBio Detection	hackernews	Cambridge, MA		https://news.ycombinator.com/item?id=48361869	software engineer, aws, infrastructure, AI	Matched software engineer, aws, infrastructure, AI
128	12.0	Machine Learning Engineer	Adobe	jobspy:linkedin	San Jose, CA		https://www.linkedin.com/jobs/view/4424515356	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
129	12.0	Machine Learning Engineer	Adobe	jobspy:linkedin	San Jose, CA		https://www.linkedin.com/jobs/view/4418271903	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
130	12.0	Machine Learning Engineer	Adobe	jobspy:linkedin	San Jose, CA		https://www.linkedin.com/jobs/view/4417502683	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
131	12.0	Machine Learning Engineer	Adobe	jobspy:linkedin	San Jose, CA		https://www.linkedin.com/jobs/view/4402328212	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
132	12.0	Machine Learning Engineer	Adobe	jobspy:linkedin	San Jose, CA		https://www.linkedin.com/jobs/view/4371572625	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
133	12.0	Machine Learning Engineer	AllCloud	jobspy:linkedin			https://www.linkedin.com/jobs/view/4422407369	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
134	12.0	Machine Learning Engineer	Arena	jobspy:linkedin			https://www.linkedin.com/jobs/view/4344758386	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
135	12.0	Machine Learning Engineer	Blank Bio	jobspy:linkedin	San Francisco, CA		https://www.linkedin.com/jobs/view/4415913253	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
136	12.0	Staff Machine Learning Engineer	Bumble Inc.	jobspy:linkedin	Austin, TX		https://www.linkedin.com/jobs/view/4403060486	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
137	12.0	Data Scientist/Machine Learning Engineer (req-249)	CATHEXIS	jobspy:linkedin	Tysons Corner, VA		https://www.linkedin.com/jobs/view/4421298052	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
138	12.0	Machine Learning Engineer I	CNN	jobspy:linkedin	New York, NY		https://www.linkedin.com/jobs/view/4417399632	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
139	12.0	Machine Learning Engineer I	CNN	jobspy:linkedin	Atlanta, GA		https://www.linkedin.com/jobs/view/4417399631	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
140	12.0	Machine Learning Engineer	Children's Hospital of Philadelphia	jobspy:linkedin	Philadelphia, PA		https://www.linkedin.com/jobs/view/4394742363	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
141	12.0	Artificial Intelligence and Machine Learning Engineer	Cumberland Farms	jobspy:linkedin	Westborough, MA		https://www.linkedin.com/jobs/view/4392484077	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
142	12.0	Machine Learning Engineer	Darwill	jobspy:linkedin			https://www.linkedin.com/jobs/view/4375712449	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
143	12.0	Machine Learning Engineer	Finch	jobspy:linkedin	New York, NY		https://www.linkedin.com/jobs/view/4379908326	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
144	12.0	Machine Learning Engineer (Chicago)	Fitch Ratings	jobspy:linkedin	Chicago, IL		https://www.linkedin.com/jobs/view/4416329451	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
145	12.0	Machine Learning Engineer / Data Scientist	Fusemachines	jobspy:linkedin	New York, NY		https://www.linkedin.com/jobs/view/4366210595	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
146	12.0	Machine Learning Engineer (GCP)	GlobalLogic	jobspy:linkedin			https://www.linkedin.com/jobs/view/4424448916	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
147	12.0	Machine Learning Engineer	HCL Global Systems Inc	jobspy:linkedin	Texas, United States		https://www.linkedin.com/jobs/view/4421194759	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
148	12.0	Machine Learning Engineer, Chakra	HackerRank	jobspy:linkedin	Santa Clara, CA		https://www.linkedin.com/jobs/view/4398844960	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
149	12.0	Machine Learning Engineer	Hadrian	jobspy:linkedin	Los Angeles, CA		https://www.linkedin.com/jobs/view/4359892957	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
150	12.0	Machine Learning Engineer	HealthEdge	jobspy:linkedin			https://www.linkedin.com/jobs/view/4397394976	machine learning engineer, machine learning	Matched machine learning engineer, machine learning
